Postal Code,Borough,Neighborhood,Latitude,Longitude
84,Fuencarral-El Pardo,Pilar,40.477372078809815,-3.709473400319191
85,Fuencarral-El Pardo,La Paz,40.48125594519787,-3.6969032968678444
86,Fuencarral-El Pardo,Valverde,40.49497016201963,-3.692898073589203
87,Fuencarral-El Pardo,Mirasierra,40.49445298522325,-3.7152161905050876
88,Fuencarral-El Pardo,El Goloso,40.55654841130975,-3.7041184062339108
91,Moncloa-Aravaca,Casa de Campo,40.42529009706316,-3.7542558454552504
92,Moncloa-Aravaca,Arguelles,40.428467039507446,-3.7175051395090213
93,Moncloa-Aravaca,Ciudad Universitaria,40.45658476734289,-3.7382703267767923
94,Moncloa-Aravaca,Valdezarza,40.46563861846798,-3.7171846325979656
95,Moncloa-Aravaca,Valdemarin,40.46812302107106,-3.778439413325819
96,Moncloa-Aravaca,El Plantio,40.470058381269276,-3.820486177354531
97,Moncloa-Aravaca,Aravaca,40.455281835123735,-3.779086910189395
101,Latina,Los Carmenes,40.40277552459553,-3.73311029691748
102,Latina,Puerta del Angel,40.40994166574991,-3.7318791122608332
103,Latina,Lucero,40.40261446372234,-3.7509928043294
104,Latina,Aluche,40.3920997315655,-3.7570532592709855
105,Latina,Campamento,40.38425372893571,-3.8021627889279648
106,Latina,Cuatro Vientos,40.36974143248567,-3.7847167807470896
107,Latina,Las Aguilas,40.3816226698577,-3.7700942193415474
111,Carabanchel,Comillas,40.393148008573874,-3.7120349111980038
112,Carabanchel,Opanel,40.39087463678626,-3.7209890376635775
113,Carabanchel,San Isidro,40.396574454737255,-3.7283832077724135
114,Carabanchel,Vista Alegre,40.38417834486522,-3.745698550371546
115,Carabanchel,Puerta Bonita,40.37970374559937,-3.739107812277733
116,Carabanchel,Buenavista,40.367735340770565,-3.7446066455593034
117,Carabanchel,Abrantes,40.379878485889684,-3.726535432118196
121,Usera,Orcasitas,40.36933861061949,-3.712430611756367
122,Usera,Orcasur,40.37285919162134,-3.69857725137881
123,Usera,San Fermin,40.370383459843296,-3.689278490007519
124,Usera,Almendrales,40.38391173851098,-3.699486223123899
125,Usera,Moscardo,40.3891153317879,-3.7071870434883163
126,Usera,Zofio,40.379608536530654,-3.7154828236544226
127,Usera,Pradolongo,40.377985186333696,-3.707037395878894
131,Puente de Vallecas,Entrevias,40.37533588372163,-3.6721262399945482
132,Puente de Vallecas,San Diego,40.38944969640213,-3.668144900368668
133,Puente de Vallecas,Palomeras Bajas,40.385073370311666,-3.6585774633310284
134,Puente de Vallecas,Palomeras Sureste,40.38489828664122,-3.6369107553950326
135,Puente de Vallecas,Portazgo,40.39075276947282,-3.648589841376345
136,Puente de Vallecas,Numancia,40.39981230131003,-3.658862038459356
141,Moratalaz,Pavones,40.39887185780177,-3.6324973969236187
142,Moratalaz,Horcajo,40.408650427973285,-3.6269850008857434
143,Moratalaz,Marroquina,40.41128985732977,-3.641142646389124
144,Moratalaz,Media Legua,40.41225127297256,-3.6572597810439125
145,Moratalaz,Fontarron,40.40206306586488,-3.647580503529805
146,Moratalaz,Vinateros,40.40502363634909,-3.6420321189511835
151,Ciudad Lineal,Ventas,40.42212364295875,-3.647185551149286
152,Ciudad Lineal,Pueblo Nuevo,40.425997886486265,-3.635463481949938
153,Ciudad Lineal,Quintana,40.436842051331055,-3.6452834355256676
154,Ciudad Lineal,Concepcion,40.43877611685948,-3.64965916965266
155,Ciudad Lineal,San Pascual,40.442827263509756,-3.653957818594632
156,Ciudad Lineal,San Juan Bautista,40.450784169854565,-3.6571534759980686
157,Ciudad Lineal,Colina,40.458171109646486,-3.6605004958338667
158,Ciudad Lineal,Atalaya,40.46425830084276,-3.6650931300549323
159,Ciudad Lineal,Costillares,40.475887548699696,-3.669154664080132
161,Hortaleza,Palomas,40.452763667820776,-3.6148660775803267
162,Hortaleza,Piovera,40.45615174257112,-3.6349934760575002
163,Hortaleza,Canillas,40.46425750227339,-3.643582615992427
164,Hortaleza,Pinar del Rey,40.47333920786884,-3.6459764942770416
165,Hortaleza,Apostol Santiago,40.476601765913365,-3.6598818294242093
166,Hortaleza,Valdefuentes,40.49405084339518,-3.6339373579367447
171,Villaverde,Villaverde Alto,40.3406224584466,-3.708809409560559
172,Villaverde,San Cristobal,40.340606453172676,-3.6883776043634726
